,age,reversal frequency
0,5,4.7
1,6,4.5
2,7,4.7
3,8,5.2
4,9,5.1
5,10,4.9
6,11,4.9
7,12,5.1
8,13,4.5
9,14,4.3
10,15,3.6
11,16,3.9
12,17,3.7
13,18,3.6
14,19,3.8
15,20,3.7
16,21,4.1
17,22,3.6
18,23,3.6
19,24,3.8
20,25,4.0
21,26,3.9
22,27,3.6
23,28,2.9
24,29,2.5
25,30,2.3
26,31,2.0
27,32,2.1
28,33,2.3
29,34,2.1
30,35,2.0
31,36,1.8
32,37,2.0
33,38,2.1
34,39,2.0
35,40,1.8
36,41,1.5
37,42,1.4
38,43,1.1
39,44,0.9
40,45,0.9
41,46,1.0
42,47,1.0
43,48,1.4
44,49,1.4
45,50,1.4
46,51,1.5
47,52,1.5
48,53,1.6
49,54,1.6
50,55,1.4
51,56,1.3
52,57,1.2
53,58,0.8
54,59,0.9
55,60,1.0
56,61,1.0
57,62,0.9
58,63,0.9
59,64,1.0
60,65,1.0
61,66,0.9
62,67,1.1
63,68,1.0
64,69,1.2
65,70,1.1
66,71,1.0
67,72,1.0
68,73,0.8
69,74,0.7
70,75,0.8
71,76,0.8
72,77,0.5
73,78,0.6
74,79,0.2
75,80,0.2
76,81,0.2
77,82,0.2
78,83,0.2
79,84,0.2
80,85,0.1
81,86,0.1
82,87,0.1
83,88,0.1
84,89,0.0
85,90,0.0
86,91,0.0
87,92,0.0
88,93,0.0
89,94,0.0
90,95,0.0
91,96,0.0
92,97,0.0
93,98,0.0
94,99,0.0
95,100,0.0
96,101,0.0
97,102,0.0
98,103,0.0
99,104,0.0
100,105,0.0
101,106,0.0
102,107,0.0
103,108,0.0
104,109,0.0
105,110,0.0
106,111,0.0
107,112,0.0
108,113,0.1
109,114,0.1
110,115,0.1
111,116,0.1
112,117,0.1
113,118,0.1
114,119,0.1
115,120,0.1
